curvature	seed	product_dt_f1-micro	product_dt_accuracy	product_dt_time	product_rf_f1-micro	product_rf_accuracy	product_rf_time	tangent_mlp_f1-micro	tangent_mlp_accuracy	tangent_mlp_time	ambient_mlp_f1-micro	ambient_mlp_accuracy	ambient_mlp_time	tangent_gnn_f1-micro	tangent_gnn_accuracy	tangent_gnn_time	ambient_gnn_f1-micro	ambient_gnn_accuracy	ambient_gnn_time
1.0	88	0.22	0.22	0.009034395217895508	0.225	0.225	0.10176253318786621	0.18	0.18	0.7169885635375977	0.22	0.22	0.7628681659698486	0.125	0.125	5.211634874343872	0.13	0.13	5.226956129074097
1.0	89	0.24	0.24	0.009181976318359375	0.27	0.27	0.1029658317565918	0.175	0.175	0.7385601997375488	0.26	0.26	0.7619237899780273	0.2	0.2	5.210160255432129	0.19	0.19	5.219260931015015
2.0	90	0.29	0.29	0.009032249450683594	0.325	0.325	0.10174942016601562	0.23	0.23	0.7247545719146729	0.26	0.26	0.7619121074676514	0.2	0.2	5.215545654296875	0.07	0.07	5.227538108825684
2.0	91	0.27	0.27	0.009198665618896484	0.33	0.33	0.10297226905822754	0.205	0.205	0.7336380481719971	0.29	0.29	0.7593131065368652	0.145	0.145	5.2199273109436035	0.19	0.19	5.222466230392456
2.0	92	0.255	0.255	0.009183406829833984	0.275	0.275	0.10289502143859863	0.19	0.19	0.7285194396972656	0.265	0.265	0.7730240821838379	0.235	0.235	5.218217849731445	0.16	0.16	5.23223614692688
2.0	93	0.275	0.275	0.009102106094360352	0.295	0.295	0.10133886337280273	0.18	0.18	0.7268276214599609	0.21	0.21	0.7657225131988525	0.31	0.31	5.225876092910767	0.31	0.31	5.231111526489258
2.0	94	0.35	0.35	0.00894927978515625	0.345	0.345	0.1017618179321289	0.185	0.185	0.7299721240997314	0.34	0.34	0.7622861862182617	0.195	0.195	5.2251574993133545	0.23	0.23	5.231875658035278
2.0	95	0.245	0.245	0.00914907455444336	0.27	0.27	0.10376286506652832	0.17	0.17	0.7267990112304688	0.28	0.28	0.77054762840271	0.155	0.155	5.220861911773682	0.155	0.155	5.218266248703003
2.0	96	0.235	0.235	0.009179353713989258	0.23	0.23	0.10269284248352051	0.12	0.12	0.7399783134460449	0.22	0.22	0.7600257396697998	0.115	0.115	5.208457946777344	0.125	0.125	5.21287202835083
2.0	97	0.29	0.29	0.008870124816894531	0.29	0.29	0.09876155853271484	0.205	0.205	0.7157585620880127	0.295	0.295	0.7557833194732666	0.22	0.22	5.200668573379517	0.22	0.22	5.201746225357056
